"id";"name";"mobile_number";"father_name";"password";"OTP";"total_shares"
"2";"shivani";"9987567740";"Goe tailor";"temp123";"6767";"10"
"4";"rahul";"8976543210";"Goe tailor";"temp$123";"6767";"9"
"5";"dr ajay";"9829144289";"dr. Goe tailor";"temp$123";"6767";"11"
"7";"ritika sharma";"9087654312";"Goe tailor";"temp$123";"6767";"11"
"8";"kajal";"8976543210";"Goe tailor";"temp$123";"6767";"12"
"9";"kushal";"6378720918";"Goe tailor";"temp$123";"6767";"9"
"42";"rakhii";"6378720910";"mr. tailor";"00000";"6767";"12"
"43";"kartik";"4454554567";"mr. tailor";"password";"6767";"8"
"44";"rakhi";"6378720999";"Andrew garfield";"komal";"6767";"8"
"45";"shikha";"7777666667";"Andrew garfield";"temp";"6767";"11"
"46";"neha rathore";"777777799";"Andrew garfield";"komal";"6767";"10"
"47";"jai";"880889878";"Andrew garfield";"komal";"6767";"10"
"48";"kartic";"977777989";"Andrew garfield";"komal";"6767";"10"
"49";"nikita";"7797775565";"Andrew garfield";"temp1234";"6767";"10"
"60";"rishika";"8773462698";"me mehta";"temp90";"6767";"10"
