"id","name","mobile_number","father_name","password","OTP","total_shares"
"2","shivani","9987567740","Goe tailor","temp123","6767","10"
"4","Jhanavi","8976543210","Goe tailor","temp$123","6767","11"
"5","dr ajay","9829144289","dr. Goe tailor","temp$123","6767","11"
"7","ritika sharma","9087654312","Goe tailor","temp$123","6767","11"
"8","Jhanavi","8976543211","Goe tailor","temp$123","6767","11"
"42","rakhii","6378720910","mr. tailor","00000","6767","12"
"44","rakhi","6378720999","Andrew garfield","komal","6767","8"
"45","shikha","7777666667","Andrew garfield","temp","6767","11"
"46","neha rathore","777777799","garfield","komal","6767","11"
"47","jai areek","880889878","vijay pareek","komal","6767","12"
"49","nikita","7797775565","Andrew garfield","temp1234","6767","10"
"60","rishika","8773462698","me mehta","temp90","6767","10"
"61","kanika kamra ","6378720966","mr. kamra","temp123","6767","10"
